name,category,start,end,cost,mid,year,display_name
Western/ Eastern Severe Weather and Flooding,severe-storm,1997-12-01,1998-02-28,1.5,1998-01-14,1998,Western/Eastern Severe Weather and Flooding
Rockies/ Plains Severe Weather,severe-storm,2014-09-29,2014-10-02,1.5,2014-09-30,2014,Rockies/Plains Severe Weather
Rockies and Northeast Severe Weather,severe-storm,2016-07-28,2016-07-30,1.5,2016-07-29,2016,Rockies and Northeast Severe Weather
Plains Severe Weather,severe-storm,2014-04-02,2014-04-03,1.5,2014-04-02,2014,Plains Severe Weather
Mississippi and Ohio Valley Severe Weather and Flooding,severe-storm,1997-02-28,1997-03-05,1.5,1997-03-02,1997,Mississippi and Ohio Valley Severe Weather and Flooding
Midwest/ Plains Severe Weather,severe-storm,2013-04-07,2013-04-11,1.5,2013-04-09,2013,Midwest/Plains Severe Weather
"Midwest, South and East Severe Weather",severe-storm,2009-06-09,2009-06-12,1.5,2009-06-10,2009,"Midwest, South and East Severe Weather"
Hurricane Lili,tropical-cyclone,2002-08-01,2002-08-05,1.5,2002-08-03,2002,Hurricane Lili
Hurricane Dolly,tropical-cyclone,2008-07-23,2008-07-25,1.5,2008-07-24,2008,Hurricane Dolly
Hurricane Bonnie,tropical-cyclone,1998-08-27,1998-08-29,1.5,1998-08-28,1998,Hurricane Bonnie
Central and Eastern Winter Storm,winter-storm-freeze,1999-01-01,1999-01-04,1.5,1999-01-02,1999,Central and Eastern Winter Storm
California Flooding,flooding,2017-02-08,2017-02-22,1.5,2017-02-15,2017,California Flooding
"Winter Storm, Cold Wave",winter-storm-freeze,1989-12-21,1989-12-26,1.4,1989-12-23,1989,"Winter Storm, Cold Wave"
"Tornadoes, Severe Storms, Floods",severe-storm,1984-03-27,1984-04-07,1.4,1984-04-01,1984,"Tornadoes, Severe Storms, Floods"
Texas Flooding,flooding,1998-10-16,1998-10-24,1.4,1998-10-20,1998,Texas Flooding
Severe Storms,severe-storm,1992-03-24,1992-03-25,1.4,1992-03-24,1992,Severe Storms
U.S. Wildfires,drought-wildfire,2008-09-01,2008-11-30,1.4,2008-10-16,2008,U.S. Wildfires
Southeast Tornadoes and Severe Weather,severe-storm,2008-02-05,2008-02-06,1.4,2008-02-05,2008,Southeast Tornadoes and Severe Weather
Severe Weather,severe-storm,2003-07-21,2003-07-23,1.4,2003-07-22,2003,Severe Weather
Rockies and Midwest Severe Weather,severe-storm,2011-07-10,2011-07-14,1.4,2011-07-12,2011,Rockies and Midwest Severe Weather
"Severe Storms, Hail",severe-storm,1992-06-19,1992-06-20,1.3,1992-06-19,1992,"Severe Storms, Hail"
Midwest/ Plains/ Southeast Tornadoes,severe-storm,1982-04-02,1982-04-04,1.3,1982-04-03,1982,Midwest/Plains/Southeast Tornadoes
Central and Eastern Winter Storm,winter-storm-freeze,1999-01-13,1999-01-16,1.3,1999-01-14,1999,Central and Eastern Winter Storm
Southern Plains Tornadoes,severe-storm,2015-05-06,2015-05-10,1.3,2015-05-08,2015,Southern Plains Tornadoes
Southeast Tornadoes,severe-storm,2008-03-14,2008-03-15,1.3,2008-03-14,2008,Southeast Tornadoes
South/ Southeast Severe Weather,severe-storm,2015-04-18,2015-04-20,1.3,2015-04-19,2015,South/Southeast Severe Weather
"Severe Storms, Hail, Tornadoes",severe-storm,2004-05-21,2004-05-27,1.3,2004-05-24,2004,"Severe Storms, Hail, Tornadoes"
Midwest/ Southeast Severe Weather,severe-storm,2011-08-17,2011-08-18,1.3,2011-08-17,2011,Midwest/Southeast Severe Weather
Western Severe Storms and Flooding,severe-storm,1986-02-14,1986-02-16,1.2,1986-02-15,1986,Western Severe Storms and Flooding
Western Fire Season,drought-wildfire,1994-06-01,1994-11-30,1.2,1994-08-31,1994,Western Fire Season
"Severe Storms, Tornadoes",severe-storm,1991-03-26,1991-03-29,1.2,1991-03-27,1991,"Severe Storms, Tornadoes"
Severe storms,severe-storm,1982-05-31,1982-06-10,1.2,1982-06-05,1982,Severe storms
